,Address,Price,Lat,Lng
405,6006 Connely Drive,1200000,33.129076,-96.81576
406,12684 Riverhill Road,1299000,33.183121,-96.851068
407,6203 Sweeney Trail,1895000,33.130072,-96.833879
408,9805 Concord Drive,295000,33.13468,-96.797119
409,2249 Lariat Trail,324900,33.133014,-96.9218
410,13160 Guerin Drive,325000,33.187186,-96.793222
411,7297 Chinquapin Drive,325000,33.170906,-96.82066
412,6848 Regello Drive,340000,33.125764,-96.824733
413,9758 Golden Fountain Drive,350000,33.158524,-96.854304
414,2450 Thorntree Drive,369000,33.171951,-96.869568
415,12506 Melrose Lane,369900,33.133286,-96.768317
416,5904 Louisville Drive,375000,33.127181,-96.776795
417,12732 Hollister Drive,389000,33.184245,-96.859618
418,2910 Reynolds Lane,389900,33.181553,-96.863862
419,15833 Rockingham ST,395000,33.15735,-96.9186
420,9812 Adolphus DR,400000,33.121274,-96.79452
421,7601 Blossom Lane,439900,33.14437,-96.818086
422,12004 Rushing Creek Drive,445900,33.120595,-96.773563
423,9991 Slick Rock Trail,449900,33.161065,-96.867143
424,9569 Lance DR,460000,33.193741,-96.798193
425,9569 Lance Drive,460000,33.193741,-96.798193
426,12299 Antler Drive,465000,33.190451,-96.772382
427,11025 Villita Street,475000,33.198636,-96.784223
428,1090 Frisco Ranch Road,489900,32.825907,-96.966915
429,1690 Foard Drive,499000,33.093513,-96.838002
430,7152 Maumee Valley Court,500000,33.138649,-96.904151
431,2397 Mackinac Drive,509900,33.190411,-96.869839
432,6341 Lorwood Drive,579000,33.131016,-96.738645
433,9547 Amberwoods Lane,599900,33.194572,-96.798247
434,1403 Crockett Drive,625000,33.160585,-96.879541
435,15692 Atkins Lane,675000,33.170054,-96.735571
436,5358 Moss Glen Drive,889000,33.124186,-96.841922
437,6198 Rachel Drive,900000,33.131416,-96.834231
438,3499 Cedar Cottage Circle,939900,33.107933,-96.875581
439,7380 Calla Lilly Lane,968000,33.139518,-96.858607
440,6756 Stallion Ranch Road,970000,33.135504,-96.878035
441,6281 Memorial Drive,1100000,33.131286,-96.814133
442,8400 Hickory Street,290000,33.147931,-96.808882
443,13959 Stevens Point Drive,330000,33.194678,-96.872966
444,11708 Beach Street,375000,33.138896,-96.929214
445,9413 Prestmont Place,395000,33.111074,-96.800081
446,4042 Guadalupe Lane,397000,33.116636,-96.853949
447,7927 Canal Street,425000,33.144065,-96.852624
448,2649 Marshall Drive,437500,33.15882,-96.867442
449,11564 Santa Maria Road,459900,33.1938,-96.778496
450,13714 French Creek Lane,475000,33.191394,-96.76999
451,13767 Monstrell Road,510000,33.191574,-96.793783
452,8326 Sitka Street,515000,33.146723,-96.799221
453,11777 Estacado Drive,548000,33.176547,-96.877195
454,2771 Barnhill Lane,550000,33.125252,-96.866189
455,14694 Mediterranean Drive,550000,33.199321,-96.798513
456,10923 Chilmark Court,599000,33.181502,-96.785332
457,5611 Lightfoot Lane,625000,33.125376,-96.885696
458,1567 San Andres Drive,675000,33.177347,-96.877449
459,14121 Berryfield Lane,759000,33.157654,-96.754397
460,13162 Ignatius Drive,799900,33.135164,-96.763573
461,984 Havenbrook Lane,800000,33.125005,-96.88383
462,4849 Northshore Drive,899900,33.113979,-96.845878
463,4520 Florence Drive,930000,33.1123,-96.849238
464,5733 Travis Drive,1200000,33.096267,-96.838065
465,3050 Briarwood Lane,1299000,33.10487,-96.834199
466,6440 Memorial Drive,1699000,33.1328,-96.816156
467,5205 Mosscreek Lane,319999,33.121378,-96.774714
468,12018 Chattanooga Drive,339999,33.130176,-96.772792
469,638 Enfield Drive,359900,33.151158,-96.886641
470,10045 Bell Rock Road,365000,33.138019,-96.794839
471,9706 Prestmont Place,397000,33.111513,-96.797436
472,5871 Rivendell Drive,435000,33.126914,-96.791199
473,561 Meandering Lane,702045,33.209604,-96.886503
474,12886 Five Bar Drive,775000,33.132233,-96.766493
475,3749 Marble Hill Road,962309,33.012135,-96.534936
476,6259 Loxton Boulevard,989000,33.146336,-96.856347
477,5964 Burkett Drive,1100000,33.126757,-96.840964
478,11821 Summer Springs Drive,314900,33.1368,-96.927885
479,12502 Melrose Lane,315000,33.13324,-96.768621
480,12144 Cardinal Creek Drive,329000,33.179413,-96.881424
481,11911 Chattanooga Drive,339990,33.129748,-96.774125
482,8500 Beartooth Drive,400000,33.149016,-96.876343
483,8212 Wharf Street,410000,33.147269,-96.77854
484,2138 Mustang Trail,425000,33.163834,-96.872469
485,14157 Salmon Drive,425000,33.171829,-96.753845
486,8550 Holly Street,430000,33.146393,-96.811711
487,9617 Robinwoods Drive,535000,33.196219,-96.797572
488,10204 Fire Ridge Drive,555000,33.164319,-96.862908
489,8312 Kara Creek Road,750000,33.147779,-96.88664
490,2387 Alcove Drive,1097394,33.173078,-96.92873
491,9651 Vita Dolce Drive,1099900,33.179807,-96.797399
492,2766 Sparks Drive,350000,33.151195,-96.867197
493,4408 Ripplewood Road,399999,33.115277,-96.782276
494,9704 Legend Trail,429000,33.140675,-96.797651
495,16405 Prairie Oak Road,669000,32.664953,-97.024692
496,12709 Grand Valley Drive,728900,33.183786,-96.859177
497,6797 Reims Court,2099000,33.133847,-96.813706
498,11800 Kurth Drive,305000,33.141152,-96.929033
499,10100 Oxbow Avenue,576918,33.161035,-96.759316
500,774 Caveson Drive,599900,33.151232,-96.897086
501,10744 Manuel Street,604924,33.167148,-96.762893
502,11371 Pear Ridge Drive,325000,33.138588,-96.781093
503,15812 Langsdale Street,360000,33.156789,-96.917779
